"player_id","supercoach_id","first_name","last_name","team","pos","average","price"
297373,693,"Marcus","Bontempelli","WBD","MID",130.61,706800
290528,442,"Max","Gawn","MEL","RUC",127.43,689600
1004965,519,"Tristan","Xerri","NTH","RUC",127,687300
293957,663,"Brodie","Grundy","SYD","RUC",125.27,677900
1006121,528,"Zak","Butters","PTA","MID",121,654800
1000978,72,"Hugh","McCluggage","BRL","MID",119.43,646300
1009208,297,"Matt","Rowell","GCS","MID",118.52,641400
1006130,342,"Bailey","Smith","GEE","MID",117.95,638300
1023261,138,"Nick","Daicos","COL","MID",116.13,628400
1015507,643,"Nasiah","Wanganeen-Milera","STK","DEF",115,622300
993834,58,"Josh","Dunkley","BRL","MID",114.78,621100
1009199,263,"Noah","Anderson","GCS","MID",114.52,619700
1002232,221,"Andrew","Brayshaw","FRE","MID",113.91,616400
992242,10,"Jordan","Dawson","ADE","MID",112.96,611300
1009399,233,"Luke","Jackson","FRE","RUC",112.95,611200
294036,107,"George","Hewett","CAR","MID",112.22,607300
994389,639,"Jack","Sinclair","STK","DEF",112.09,606600
1023266,358,"Finn","Callaghan","GWS","MID",111.9,605500
990291,133,"Darcy","Cameron","COL","RUC",111.3,602300
1008280,724,"Ed","Richards","WBD","MID",111.3,602300
1004592,707,"Tim","English","WBD","RUC",111.04,600900
290799,719,"Tom","Liberatore","WBD","MID",111,600700
1015889,326,"Max","Holmes","GEE","MID",110.87,600000
1009528,365,"Tom","Green","GWS","MID",110.86,599900
294305,392,"Lachie","Whitfield","GWS","DEF",110.73,599200
298539,667,"Isaac","Heeney","SYD","MID",109.7,593600
298272,287,"Touk","Miller","GCS","MID",108.29,586000
992016,202,"Zach","Merrett","ESS","MID",107.73,583000
1009253,352,"Lachie","Ash","GWS","DEF",107.74,583000
1023518,509,"Harry","Sheezel","NTH","MID FWD",107.26,580400
293535,77,"Lachie","Neale","BRL","MID",105.95,573300
992468,630,"Rowan","Marshall","STK","RUC",105.78,572400
